Strain Name	Virus Species	Virus Genus	Virus Family	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type	Complete Sequence	class_human_host	class_pathogenic	class_intersect
SARS-CoV-2/human/CHN/HZ-185/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT253698	29781	01/23/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/HZ-477/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT253699	29781	01/24/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/HZ-48/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT253701	29781	01/21/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/HZ-481/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT253700	29781	01/25/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/HZ-49/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT253702	29781	01/21/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/HZ-551/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT253703	29781	01/25/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/HZ-576/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT253704	29781	01/25/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/HZ-60/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT253705	29781	01/22/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/HZ-638/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT253707	29781	01/25/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/HZ-79/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT253708	29781	01/21/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/HZ-90/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT253709	29781	01/21/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/HZ-91/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT253710	29781	01/21/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/HZ-62/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT253706	29781	01/22/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
USA/MN2-MDH2/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT188340	29845	03/07/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/ESP/Valencia11/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT292572	29782	03/10/2020	Human	Homo sapiens	Spain	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/ESP/Valencia13/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT292569	29782	03/09/2020	Human	Homo sapiens	Spain	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/ESP/Valencia16/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT292575	29782	03/10/2020	Human	Homo sapiens	Spain	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/ESP/Valencia17/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT292570	29782	03/10/2020	Human	Homo sapiens	Spain	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/ESP/Valencia7/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT233522	29782	03/02/2020	Human	Homo sapiens	Spain	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/PC00101P/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT192765	29829	03/11/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/Wuhan_IME-BJ02/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT291832	29828	01/25/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/Wuhan_IME-BJ04/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT291834	29865	01/28/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
FDAARGOS_983	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT233526	29847	01/19/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
FDAARGOS_983	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT246667	29867	01/19/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/IND/166/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT050493	29851	01/31/2020	Human	Homo sapiens	India	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/IQTC01/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT123290	29891	02/05/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
UNKNOWN-LR757996	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	LR757996	29868	01/01/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/Wuhan_IME-BJ03/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT291833	29821	01/28/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/ISR/ISR_JP0320/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT276597	29851	02/2020	Human	Homo sapiens	Israel	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/Wuhan_OS52/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT259226	29868	01/10/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/Wuhan_YB012504/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT259231	29865	01/25/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/Wuhan_YB012602/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT259229	29864	01/26/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/Wuhan_YB012506/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT259230	29866	01/25/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
WIV06	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MN996530	29854	12/30/2019	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/Wuhan_YB012605/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT259228	29861	01/26/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/NPL/61-TW/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT072688	29811	01/13/2020	Human	Homo sapiens	Nepal	genomic RNA	Yes	1	1	1
UNKNOWN-LR757995	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	LR757995	29872	12/26/2019	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/Fuyang_FY002/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT281577	29903	03/10/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/Hu/DP/Kng/19-020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	LC528232	29902	02/10/2020	Human	Homo sapiens	-N/A-	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/ITA/INMI1/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT077125	29785	01/31/2020	Human	Homo sapiens	Italy	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/TWN/CGMH-CGU-01/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT192759	29862	01/25/2020	Human	Homo sapiens	Taiwan	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/VNM/nCoV-19-02S/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT192773	29890	01/22/2020	Human	Homo sapiens	Viet Nam	genomic RNA	Yes	1	1	1
WIV02	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MN996527	29825	12/30/2019	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/CZB-RR057-005/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT258377	29888	03/18/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/Hu/DP/Kng/19-031	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	LC534418	29878	02/14/2020	Human	Homo sapiens	Japan	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/TX_2039/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT304489	29882	02/29/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
2019-nCoV/USA-CruiseA-21/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT184908	29880	02/21/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
2019-nCoV/USA-CruiseA-23/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT184910	29882	02/18/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/IQTC03/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT123293	29871	01/29/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/Wuhan_IME-BJ01/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT291831	29872	01/24/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/Wuhan_IME-BJ05/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT291835	29871	01/27/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/Hu/DP/Kng/19-027	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	LC528233	29902	02/10/2020	Human	Homo sapiens	-N/A-	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/PAK/Gilgit1/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT240479	29836	03/04/2020	Human	Homo sapiens; female; age 40	Pakistan	genomic RNA	Yes	1	1	1
SARS-CoV-2/Hu/Kng/19-437	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	LC534419	29874	03/09/2020	Human	Homo sapiens	Japan	genomic RNA	Yes	1	1	1
BetaCoV/Wuhan/IPBCAMS-WH-02/2019	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT019530	29889	12/30/2019	Human	Homo sapiens; female; age 49	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/ESP/Valencia003/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT198652	29782	03/05/2020	Human	Homo sapiens	Spain	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/ESP/Valencia12/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT292571	29782	03/09/2020	Human	Homo sapiens	Spain	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/ESP/Valencia18/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT292576	29782	03/10/2020	Human	Homo sapiens	Spain	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/ESP/Valencia22/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT292579	29782	03/09/2020	Human	Homo sapiens	Spain	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/ESP/Valencia5/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT233519	29782	02/27/2020	Human	Homo sapiens	Spain	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/ESP/Valencia8/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT233523	29782	03/04/2020	Human	Homo sapiens	Spain	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/ESP/Valencia15/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT292574	29782	03/02/2020	Human	Homo sapiens	Spain	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/ESP/Valencia19/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT292577	29782	03/08/2020	Human	Homo sapiens	Spain	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/ESP/Valencia14/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT292573	29782	03/09/2020	Human	Homo sapiens	Spain	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/ESP/Valencia20/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT292578	29782	03/09/2020	Human	Homo sapiens	Spain	genomic RNA	Yes	1	1	1
USA/MN1-MDH1/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT188341	29835	03/05/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
USA/MN3-MDH3/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT188339	29783	03/09/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/IQTC04/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT123292	29923	01/27/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW303/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263386	29808	03/22/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/CHN/Wuhan_IME-BJ07/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT291836	29860	01/29/2020	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
UNKNOWN-LR757998	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	LR757998	29866	12/26/2019	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/SWE/01/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT093571	29886	02/07/2020	Human	Homo sapiens	Sweden	genomic RNA	Yes	1	1	1
2019-nCoV/USA-CA6/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT044258	29858	01/27/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
2019-nCoV/USA-CruiseA-18/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT159716	29867	02/24/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW197/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT246454	29892	03/12/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW295/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT259285	29831	03/15/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW324/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263404	29866	03/24/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA3-UW1/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT163716	29903	02/27/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
Australia/VIC01/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT007544	29893	01/25/2020	Human	Homo sapiens	Australia	genomic RNA	Yes	1	1	1
SNU01	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT039890	29903	01/2020	Human	Homo sapiens	South Korea	genomic RNA	Yes	1	1	1
SARS CoV-2/human/USA/UF-1/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT295464	29892	03/10/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/VA-DCLS-0001/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT322394	29865	03/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/VA-DCLS-0011/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT322404	29865	03/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/VA-DCLS-0017/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT322407	29866	03/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/VA-DCLS-0018/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT322408	29866	03/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW345/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263425	29841	03/24/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA4-UW2/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT163717	29897	02/28/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW320/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263400	29841	03/23/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW212/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT246469	29869	03/14/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/VA-DCLS-0002/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT322395	29867	03/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/VA-DCLS-0003/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT322396	29867	03/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW209/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT246466	29897	03/13/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW249/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT259241	29682	03/16/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA6-UW3/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT163718	29903	02/29/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW211/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT246468	29843	03/14/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/VA-DCLS-0019/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT322409	29900	03/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW234/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT251977	29829	03/14/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW343/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263423	29829	03/23/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW383/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263462	29764	03/23/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW214/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT246471	29871	03/14/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW350/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263430	29838	03/24/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USAWA-UW416/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT293181	29871	03/26/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/VA-DCLS-0004/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT322397	29893	03/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW315/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263396	29903	03/22/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW334/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263414	29830	03/24/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW369/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263449	29828	03/24/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USAWA-UW422/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT293187	29869	03/26/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USAWA-UW456/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT293218	29870	03/29/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW292/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT259282	29815	03/15/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW336/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263416	29815	03/21/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW385/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263464	29832	03/23/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW354/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263434	29790	03/24/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USAWA-UW404/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT293169	29790	03/29/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW221/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT246478	29889	03/14/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW222/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT246479	29828	03/13/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW368/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263448	29828	03/24/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW262/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT259254	29887	03/16/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USAWA-UW403/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT293168	29694	03/29/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW339/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263419	29853	03/20/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW367/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263447	29868	03/14/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USACT-UW427/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT293192	29868	03/28/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW332/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263412	29829	03/22/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USAWA-UW425/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT293190	29829	03/26/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USACT-UW423/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT293188	29778	03/28/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW220/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT246477	29886	03/14/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW319/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263399	29886	03/24/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW285/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT259275	29841	03/14/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
SARS-CoV-2/human/USA/WA-UW370/2020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	MT263450	29841	03/24/2020	Human	Homo sapiens	USA	genomic RNA	Yes	1	1	1
